home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result
Brazil,Poland,45000,Round of 16,Mexico,1986,1986-06-16,4,0,home_win
Argentina,Uruguay,26000,Round of 16,Mexico,1986,1986-06-16,1,0,home_win
Mexico,Bulgaria,114580,Round of 16,Mexico,1986,1986-06-15,2,0,home_win
Soviet Union,Belgium,32277,Round of 16,Mexico,1986,1986-06-15,3,4,away_win
Scotland,Uruguay,20000,Group stage,Mexico,1986,1986-06-13,0,0,draw
Denmark,West Germany,36000,Group stage,Mexico,1986,1986-06-13,2,0,home_win
Algeria,Spain,23980,Group stage,Mexico,1986,1986-06-12,0,3,away_win
Northern Ireland,Brazil,51000,Group stage,Mexico,1986,1986-06-12,0,3,away_win
Paraguay,Belgium,16000,Group stage,Mexico,1986,1986-06-11,2,2,draw
Iraq,Mexico,103763,Group stage,Mexico,1986,1986-06-11,0,1,away_win
England,Poland,22700,Group stage,Mexico,1986,1986-06-11,3,0,home_win
Portugal,Morocco,28000,Group stage,Mexico,1986,1986-06-11,1,3,away_win
Argentina,Bulgaria,65000,Group stage,Mexico,1986,1986-06-10,2,0,home_win
South Korea,Italy,20000,Group stage,Mexico,1986,1986-06-10,2,3,away_win
Soviet Union,Canada,14200,Group stage,Mexico,1986,1986-06-09,2,0,home_win
Hungary,France,31420,Group stage,Mexico,1986,1986-06-09,0,3,away_win
West Germany,Scotland,30000,Group stage,Mexico,1986,1986-06-08,2,1,home_win
Iraq,Belgium,20000,Group stage,Mexico,1986,1986-06-08,1,2,away_win
Denmark,Uruguay,26500,Group stage,Mexico,1986,1986-06-08,6,1,home_win
Mexico,Paraguay,114600,Group stage,Mexico,1986,1986-06-07,1,1,draw
Northern Ireland,Spain,28000,Group stage,Mexico,1986,1986-06-07,1,2,away_win
Poland,Portugal,19915,Group stage,Mexico,1986,1986-06-07,1,0,home_win
Brazil,Algeria,48000,Group stage,Mexico,1986,1986-06-06,1,0,home_win
Hungary,Canada,13800,Group stage,Mexico,1986,1986-06-06,2,0,home_win
England,Morocco,20200,Group stage,Mexico,1986,1986-06-06,0,0,draw
Italy,Argentina,32000,Group stage,Mexico,1986,1986-06-05,1,1,draw
France,Soviet Union,36540,Group stage,Mexico,1986,1986-06-05,1,1,draw
South Korea,Bulgaria,45000,Group stage,Mexico,1986,1986-06-05,1,1,draw
Paraguay,Iraq,24000,Group stage,Mexico,1986,1986-06-04,1,0,home_win
Uruguay,West Germany,30500,Group stage,Mexico,1986,1986-06-04,1,1,draw
Scotland,Denmark,18000,Group stage,Mexico,1986,1986-06-04,0,1,away_win
Belgium,Mexico,110000,Group stage,Mexico,1986,1986-06-03,1,2,away_win
Algeria,Northern Ireland,22000,Group stage,Mexico,1986,1986-06-03,1,1,draw
Portugal,England,23000,Group stage,Mexico,1986,1986-06-03,1,0,home_win
Soviet Union,Hungary,16500,Group stage,Mexico,1986,1986-06-02,6,0,home_win
Argentina,South Korea,60000,Group stage,Mexico,1986,1986-06-02,3,1,home_win
Morocco,Poland,19900,Group stage,Mexico,1986,1986-06-02,0,0,draw
Spain,Brazil,35748,Group stage,Mexico,1986,1986-06-01,0,1,away_win
Canada,France,65500,Group stage,Mexico,1986,1986-06-01,0,1,away_win
Bulgaria,Italy,96000,Group stage,Mexico,1986,1986-05-31,1,1,draw
Italy,West Germany,90000,Final,Spain,1982,1982-07-11,3,1,home_win
Poland,France,28000,Third-place match,Spain,1982,1982-07-10,3,2,home_win
Poland,Italy,50000,Semi-finals,Spain,1982,1982-07-08,0,2,away_win
West Germany,France,70000,Semi-finals,Spain,1982,1982-07-08,3,3,draw
Italy,Brazil,44000,Second group stage,Spain,1982,1982-07-05,3,2,home_win
Spain,England,75000,Second group stage,Spain,1982,1982-07-05,0,0,draw
France,Northern Ireland,37000,Second group stage,Spain,1982,1982-07-04,4,1,home_win
Poland,Soviet Union,65000,Second group stage,Spain,1982,1982-07-04,0,0,draw
Argentina,Brazil,44000,Second group stage,Spain,1982,1982-07-02,1,3,away_win
West Germany,Spain,90089,Second group stage,Spain,1982,1982-07-02,2,1,home_win
Austria,Northern Ireland,20000,Second group stage,Spain,1982,1982-07-01,2,2,draw
Belgium,Soviet Union,45000,Second group stage,Spain,1982,1982-07-01,0,1,away_win
Italy,Argentina,43000,Second group stage,Spain,1982,1982-06-29,2,1,home_win
West Germany,England,75000,Second group stage,Spain,1982,1982-06-29,0,0,draw
Austria,France,37000,Second group stage,Spain,1982,1982-06-28,0,1,away_win
Poland,Belgium,65000,Second group stage,Spain,1982,1982-06-28,3,0,home_win
England,Kuwait,39700,First group stage,Spain,1982,1982-06-25,1,0,home_win
West Germany,Austria,41000,First group stage,Spain,1982,1982-06-25,1,0,home_win
Northern Ireland,Spain,49562,First group stage,Spain,1982,1982-06-25,1,0,home_win
France,Czechoslovakia,28000,First group stage,Spain,1982,1982-06-24,1,1,draw
Algeria,Chile,16000,First group stage,Spain,1982,1982-06-24,3,2,home_win
Honduras,Yugoslavia,25000,First group stage,Spain,1982,1982-06-24,0,1,away_win
Italy,Cameroon,20000,First group stage,Spain,1982,1982-06-23,1,1,draw
Argentina,El Salvador,32500,First group stage,Spain,1982,1982-06-23,2,0,home_win
Brazil,New Zealand,43000,First group stage,Spain,1982,1982-06-23,4,0,home_win
Poland,Peru,25000,First group stage,Spain,1982,1982-06-22,5,1,home_win
Belgium,Hungary,37000,First group stage,Spain,1982,1982-06-22,1,1,draw
Soviet Union,Scotland,45000,First group stage,Spain,1982,1982-06-22,2,2,draw
Algeria,Austria,22000,First group stage,Spain,1982,1982-06-21,0,2,away_win
France,Kuwait,30043,First group stage,Spain,1982,1982-06-21,4,1,home_win
Honduras,Northern Ireland,15000,First group stage,Spain,1982,1982-06-21,1,1,draw
West Germany,Chile,42000,First group stage,Spain,1982,1982-06-20,4,1,home_win
England,Czechoslovakia,41123,First group stage,Spain,1982,1982-06-20,2,0,home_win
Spain,Yugoslavia,48000,First group stage,Spain,1982,1982-06-20,2,1,home_win
Poland,Cameroon,19000,First group stage,Spain,1982,1982-06-19,0,0,draw
Soviet Union,New Zealand,19000,First group stage,Spain,1982,1982-06-19,3,0,home_win
Belgium,El Salvador,15000,First group stage,Spain,1982,1982-06-19,1,0,home_win
Italy,Peru,25000,First group stage,Spain,1982,1982-06-18,1,1,draw
Brazil,Scotland,47379,First group stage,Spain,1982,1982-06-18,4,1,home_win
Argentina,Hungary,32093,First group stage,Spain,1982,1982-06-18,4,1,home_win
Chile,Austria,22500,First group stage,Spain,1982,1982-06-17,0,1,away_win
Czechoslovakia,Kuwait,25000,First group stage,Spain,1982,1982-06-17,1,1,draw
Yugoslavia,Northern Ireland,25000,First group stage,Spain,1982,1982-06-17,0,0,draw
England,France,44172,First group stage,Spain,1982,1982-06-16,3,1,home_win
West Germany,Algeria,42000,First group stage,Spain,1982,1982-06-16,1,2,away_win
Spain,Honduras,49562,First group stage,Spain,1982,1982-06-16,1,1,draw
Peru,Cameroon,11000,First group stage,Spain,1982,1982-06-15,0,0,draw
Hungary,El Salvador,23000,First group stage,Spain,1982,1982-06-15,10,1,home_win
Scotland,New Zealand,36000,First group stage,Spain,1982,1982-06-15,5,2,home_win
Italy,Poland,33000,First group stage,Spain,1982,1982-06-14,0,0,draw
Brazil,Soviet Union,68000,First group stage,Spain,1982,1982-06-14,2,1,home_win
Argentina,Belgium,95000,First group stage,Spain,1982,1982-06-13,0,1,away_win
Argentina,Netherlands,71483,Final,Argentina,1978,1978-06-25,3,1,home_win
Brazil,Italy,69659,Third-place match,Argentina,1978,1978-06-24,2,1,home_win
Netherlands,Italy,67433,Second round,Argentina,1978,1978-06-21,2,1,home_win
Austria,West Germany,38318,Second round,Argentina,1978,1978-06-21,3,2,home_win
Brazil,Poland,39586,Second round,Argentina,1978,1978-06-21,3,1,home_win
Argentina,Peru,37315,Second round,Argentina,1978,1978-06-21,6,0,home_win
Poland,Peru,35288,Second round,Argentina,1978,1978-06-18,1,0,home_win
West Germany,Netherlands,40750,Second round,Argentina,1978,1978-06-18,2,2,draw
Italy,Austria,66695,Second round,Argentina,1978,1978-06-18,1,0,home_win
Argentina,Brazil,37326,Second round,Argentina,1978,1978-06-18,0,0,draw
Netherlands,Austria,25050,Second round,Argentina,1978,1978-06-14,5,1,home_win
West Germany,Italy,67547,Second round,Argentina,1978,1978-06-14,0,0,draw
Brazil,Peru,31278,Second round,Argentina,1978,1978-06-14,3,0,home_win
Argentina,Poland,37091,Second round,Argentina,1978,1978-06-14,2,0,home_win
Brazil,Austria,35221,First round,Argentina,1978,1978-06-11,1,0,home_win
Spain,Sweden,42132,First round,Argentina,1978,1978-06-11,1,0,home_win
Peru,Iran,21262,First round,Argentina,1978,1978-06-11,4,1,home_win
Scotland,Netherlands,35130,First round,Argentina,1978,1978-06-11,3,2,home_win
France,Hungary,23127,First round,Argentina,1978,1978-06-10,3,1,home_win
Poland,Mexico,22651,First round,Argentina,1978,1978-06-10,3,1,home_win
West Germany,Tunisia,30667,First round,Argentina,1978,1978-06-10,0,0,draw
Italy,Argentina,71712,First round,Argentina,1978,1978-06-10,1,0,home_win
Austria,Sweden,41424,First round,Argentina,1978,1978-06-07,1,0,home_win
Brazil,Spain,34771,First round,Argentina,1978,1978-06-07,0,0,draw
Netherlands,Peru,28125,First round,Argentina,1978,1978-06-07,0,0,draw
Scotland,Iran,7938,First round,Argentina,1978,1978-06-07,1,1,draw
Italy,Hungary,26533,First round,Argentina,1978,1978-06-06,3,1,home_win
West Germany,Mexico,35258,First round,Argentina,1978,1978-06-06,6,0,home_win
Poland,Tunisia,9624,First round,Argentina,1978,1978-06-06,1,0,home_win
Argentina,France,71666,First round,Argentina,1978,1978-06-06,2,1,home_win
Sweden,Brazil,32569,First round,Argentina,1978,1978-06-03,1,1,draw
Austria,Spain,40841,First round,Argentina,1978,1978-06-03,2,1,home_win
Peru,Scotland,37927,First round,Argentina,1978,1978-06-03,3,1,home_win
Netherlands,Iran,33431,First round,Argentina,1978,1978-06-03,3,0,home_win
Italy,France,42373,First round,Argentina,1978,1978-06-02,2,1,home_win
Tunisia,Mexico,17396,First round,Argentina,1978,1978-06-02,3,1,home_win
Argentina,Hungary,71615,First round,Argentina,1978,1978-06-02,2,1,home_win
West Germany,Poland,67579,First round,Argentina,1978,1978-06-01,0,0,draw
Netherlands,West Germany,78200,Final,Germany,1974,1974-07-07,1,2,away_win
Brazil,Poland,77100,Third-place match,Germany,1974,1974-07-06,0,1,away_win
Poland,West Germany,62000,Second round,Germany,1974,1974-07-03,0,1,away_win
Netherlands,Brazil,53700,Second round,Germany,1974,1974-07-03,2,0,home_win
Argentina,Germany DR,54254,Second round,Germany,1974,1974-07-03,1,1,draw
Sweden,Yugoslavia,41300,Second round,Germany,1974,1974-07-03,2,1,home_win
Poland,Yugoslavia,58000,Second round,Germany,1974,1974-06-30,2,1,home_win
Argentina,Brazil,39400,Second round,Germany,1974,1974-06-30,1,2,away_win
Germany DR,Netherlands,68348,Second round,Germany,1974,1974-06-30,0,2,away_win
West Germany,Sweden,67800,Second round,Germany,1974,1974-06-30,4,2,home_win
Yugoslavia,West Germany,67385,Second round,Germany,1974,1974-06-26,0,2,away_win
Brazil,Germany DR,59863,Second round,Germany,1974,1974-06-26,1,0,home_win
Sweden,Poland,44955,Second round,Germany,1974,1974-06-26,0,1,away_win
Netherlands,Argentina,56548,Second round,Germany,1974,1974-06-26,4,0,home_win
Bulgaria,Netherlands,53300,First round,Germany,1974,1974-06-23,1,4,away_win
Poland,Italy,70100,First round,Germany,1974,1974-06-23,2,1,home_win
Sweden,Uruguay,28300,First round,Germany,1974,1974-06-23,3,0,home_win
Argentina,Haiti,25900,First round,Germany,1974,1974-06-23,4,1,home_win
Scotland,Yugoslavia,56000,First round,Germany,1974,1974-06-22,1,1,draw
Australia,Chile,17400,First round,Germany,1974,1974-06-22,0,0,draw
Zaire,Brazil,36200,First round,Germany,1974,1974-06-22,0,3,away_win
Germany DR,West Germany,60200,First round,Germany,1974,1974-06-22,1,0,home_win
Haiti,Poland,25300,First round,Germany,1974,1974-06-19,0,7,away_win
Bulgaria,Uruguay,13400,First round,Germany,1974,1974-06-19,1,1,draw
Netherlands,Sweden,53700,First round,Germany,1974,1974-06-19,0,0,draw
Argentina,Italy,70100,First round,Germany,1974,1974-06-19,1,1,draw
Australia,West Germany,53300,First round,Germany,1974,1974-06-18,0,3,away_win
Yugoslavia,Zaire,31700,First round,Germany,1974,1974-06-18,9,0,home_win
Chile,Germany DR,28300,First round,Germany,1974,1974-06-18,1,1,draw
Scotland,Brazil,62000,First round,Germany,1974,1974-06-18,0,0,draw
Uruguay,Netherlands,55100,First round,Germany,1974,1974-06-15,0,2,away_win
Sweden,Bulgaria,23800,First round,Germany,1974,1974-06-15,0,0,draw
Italy,Haiti,53000,First round,Germany,1974,1974-06-15,3,1,home_win
Poland,Argentina,32700,First round,Germany,1974,1974-06-15,3,2,home_win
West Germany,Chile,81100,First round,Germany,1974,1974-06-14,1,0,home_win
Germany DR,Australia,17000,First round,Germany,1974,1974-06-14,2,0,home_win
Zaire,Scotland,27000,First round,Germany,1974,1974-06-14,0,2,away_win
Brazil,Yugoslavia,62000,First round,Germany,1974,1974-06-13,0,0,draw
Brazil,Italy,107412,Final,Mexico,1970,1970-06-21,4,1,home_win
West Germany,Uruguay,104403,Third-place match,Mexico,1970,1970-06-20,1,0,home_win
Italy,West Germany,102444,Semi-finals,Mexico,1970,1970-06-17,4,3,home_win
Brazil,Uruguay,51261,Semi-finals,Mexico,1970,1970-06-17,3,1,home_win
Brazil,Peru,54233,Quarter-finals,Mexico,1970,1970-06-14,4,2,home_win
Italy,Mexico,26851,Quarter-finals,Mexico,1970,1970-06-14,4,1,home_win
Uruguay,Soviet Union,26085,Quarter-finals,Mexico,1970,1970-06-14,1,0,home_win
West Germany,England,23357,Quarter-finals,Mexico,1970,1970-06-14,3,2,home_win
Mexico,Belgium,108192,Group stage,Mexico,1970,1970-06-11,1,0,home_win
Italy,Israel,9890,Group stage,Mexico,1970,1970-06-11,0,0,draw
Bulgaria,Morocco,12299,Group stage,Mexico,1970,1970-06-11,1,1,draw
England,Czechoslovakia,49292,Group stage,Mexico,1970,1970-06-11,1,0,home_win
West Germany,Peru,17875,Group stage,Mexico,1970,1970-06-10,3,1,home_win
Brazil,Romania,50804,Group stage,Mexico,1970,1970-06-10,3,2,home_win
Sweden,Uruguay,18163,Group stage,Mexico,1970,1970-06-10,1,0,home_win
Soviet Union,El Salvador,89979,Group stage,Mexico,1970,1970-06-10,2,0,home_win
Mexico,El Salvador,103058,Group stage,Mexico,1970,1970-06-07,4,0,home_win
Brazil,England,66843,Group stage,Mexico,1970,1970-06-07,1,0,home_win
West Germany,Bulgaria,12710,Group stage,Mexico,1970,1970-06-07,5,2,home_win
Sweden,Israel,9624,Group stage,Mexico,1970,1970-06-07,1,1,draw
Romania,Czechoslovakia,56818,Group stage,Mexico,1970,1970-06-06,2,1,home_win
Uruguay,Italy,29968,Group stage,Mexico,1970,1970-06-06,0,0,draw
Soviet Union,Belgium,95261,Group stage,Mexico,1970,1970-06-06,4,1,home_win
Peru,Morocco,13537,Group stage,Mexico,1970,1970-06-06,3,0,home_win
Belgium,El Salvador,92205,Group stage,Mexico,1970,1970-06-03,3,0,home_win
Brazil,Czechoslovakia,52897,Group stage,Mexico,1970,1970-06-03,4,1,home_win
Italy,Sweden,13433,Group stage,Mexico,1970,1970-06-03,1,0,home_win
West Germany,Morocco,12942,Group stage,Mexico,1970,1970-06-03,2,1,home_win
England,Romania,50560,Group stage,Mexico,1970,1970-06-02,1,0,home_win
Peru,Bulgaria,13765,Group stage,Mexico,1970,1970-06-02,3,2,home_win
Uruguay,Israel,20654,Group stage,Mexico,1970,1970-06-02,2,0,home_win
Mexico,Soviet Union,107160,Group stage,Mexico,1970,1970-05-31,0,0,draw
England,West Germany,96924,Final,England,1966,1966-07-30,4,2,home_win
Portugal,Soviet Union,87696,Third-place match,England,1966,1966-07-28,2,1,home_win
England,Portugal,94493,Semi-finals,England,1966,1966-07-26,2,1,home_win
West Germany,Soviet Union,38273,Semi-finals,England,1966,1966-07-25,2,1,home_win
Portugal,North Korea,40248,Quarter-finals,England,1966,1966-07-23,5,3,home_win
England,Argentina,90584,Quarter-finals,England,1966,1966-07-23,1,0,home_win
Soviet Union,Hungary,26844,Quarter-finals,England,1966,1966-07-23,2,1,home_win
West Germany,Uruguay,40007,Quarter-finals,England,1966,1966-07-23,4,0,home_win
England,France,98270,Group stage,England,1966,1966-07-20,2,0,home_win
Hungary,Bulgaria,24129,Group stage,England,1966,1966-07-20,3,1,home_win
West Germany,Spain,42187,Group stage,England,1966,1966-07-20,2,1,home_win
Soviet Union,Chile,16027,Group stage,England,1966,1966-07-20,2,1,home_win
Uruguay,Mexico,61112,Group stage,England,1966,1966-07-19,0,0,draw
Argentina,Switzerland,32127,Group stage,England,1966,1966-07-19,2,0,home_win
Portugal,Brazil,58479,Group stage,England,1966,1966-07-19,3,1,home_win
North Korea,Italy,17829,Group stage,England,1966,1966-07-19,1,0,home_win
West Germany,Argentina,46587,Group stage,England,1966,1966-07-16,0,0,draw
Soviet Union,Italy,27793,Group stage,England,1966,1966-07-16,1,0,home_win
Portugal,Bulgaria,25438,Group stage,England,1966,1966-07-16,3,0,home_win
England,Mexico,92570,Group stage,England,1966,1966-07-16,2,0,home_win
Spain,Switzerland,32028,Group stage,England,1966,1966-07-15,2,1,home_win
Uruguay,France,45662,Group stage,England,1966,1966-07-15,2,1,home_win
Hungary,Brazil,51387,Group stage,England,1966,1966-07-15,3,1,home_win
North Korea,Chile,13792,Group stage,England,1966,1966-07-15,1,1,draw
Argentina,Spain,42738,Group stage,England,1966,1966-07-13,2,1,home_win
France,Mexico,69237,Group stage,England,1966,1966-07-13,1,1,draw
Italy,Chile,27199,Group stage,England,1966,1966-07-13,2,0,home_win
Portugal,Hungary,29886,Group stage,England,1966,1966-07-13,3,1,home_win
Brazil,Bulgaria,47308,Group stage,England,1966,1966-07-12,2,0,home_win
Soviet Union,North Korea,23006,Group stage,England,1966,1966-07-12,3,0,home_win
West Germany,Switzerland,36127,Group stage,England,1966,1966-07-12,5,0,home_win
England,Uruguay,87148,Group stage,England,1966,1966-07-11,0,0,draw
Brazil,Czechoslovakia,68679,Final,Chile,1962,1962-06-17,3,1,home_win
Chile,Yugoslavia,66697,Third-place match,Chile,1962,1962-06-16,1,0,home_win
Brazil,Chile,76594,Semi-finals,Chile,1962,1962-06-13,4,2,home_win
Czechoslovakia,Yugoslavia,5890,Semi-finals,Chile,1962,1962-06-13,3,1,home_win
Chile,Soviet Union,17268,Quarter-finals,Chile,1962,1962-06-10,2,1,home_win
Brazil,England,17736,Quarter-finals,Chile,1962,1962-06-10,3,1,home_win
Czechoslovakia,Hungary,11690,Quarter-finals,Chile,1962,1962-06-10,1,0,home_win
Yugoslavia,West Germany,63324,Quarter-finals,Chile,1962,1962-06-10,1,0,home_win
England,Bulgaria,5700,Group stage,Chile,1962,1962-06-07,0,0,draw
Mexico,Czechoslovakia,10648,Group stage,Chile,1962,1962-06-07,3,1,home_win
Italy,Switzerland,59828,Group stage,Chile,1962,1962-06-07,3,0,home_win
Yugoslavia,Colombia,7167,Group stage,Chile,1962,1962-06-07,5,0,home_win
West Germany,Chile,67224,Group stage,Chile,1962,1962-06-06,2,0,home_win
Soviet Union,Uruguay,9973,Group stage,Chile,1962,1962-06-06,2,1,home_win
Hungary,Argentina,7945,Group stage,Chile,1962,1962-06-06,0,0,draw
Brazil,Spain,18715,Group stage,Chile,1962,1962-06-06,2,1,home_win
Spain,Mexico,11875,Group stage,Chile,1962,1962-06-03,1,0,home_win
Soviet Union,Colombia,8040,Group stage,Chile,1962,1962-06-03,4,4,draw
Hungary,Bulgaria,7442,Group stage,Chile,1962,1962-06-03,6,1,home_win
West Germany,Switzerland,64922,Group stage,Chile,1962,1962-06-03,2,1,home_win
Chile,Italy,66057,Group stage,Chile,1962,1962-06-02,2,0,home_win
Brazil,Czechoslovakia,14903,Group stage,Chile,1962,1962-06-02,0,0,draw
England,Argentina,9794,Group stage,Chile,1962,1962-06-02,3,1,home_win
Yugoslavia,Uruguay,8829,Group stage,Chile,1962,1962-06-02,3,1,home_win
West Germany,Italy,65440,Group stage,Chile,1962,1962-05-31,0,0,draw
Hungary,England,7938,Group stage,Chile,1962,1962-05-31,2,1,home_win
Czechoslovakia,Spain,12700,Group stage,Chile,1962,1962-05-31,1,0,home_win
Soviet Union,Yugoslavia,9622,Group stage,Chile,1962,1962-05-31,2,0,home_win
Chile,Switzerland,65006,Group stage,Chile,1962,1962-05-30,3,1,home_win
Uruguay,Colombia,7908,Group stage,Chile,1962,1962-05-30,2,1,home_win
Brazil,Mexico,10484,Group stage,Chile,1962,1962-05-30,2,0,home_win
Argentina,Bulgaria,7134,Group stage,Chile,1962,1962-05-30,1,0,home_win
Brazil,Sweden,49737,Final,Sweden,1958,1958-06-29,5,2,home_win
France,West Germany,32483,Third-place match,Sweden,1958,1958-06-28,6,3,home_win
Sweden,West Germany,49471,Semi-finals,Sweden,1958,1958-06-24,3,1,home_win
Brazil,France,27100,Semi-finals,Sweden,1958,1958-06-24,5,2,home_win
France,Northern Ireland,11800,Quarter-finals,Sweden,1958,1958-06-19,4,0,home_win
West Germany,Yugoslavia,20055,Quarter-finals,Sweden,1958,1958-06-19,1,0,home_win
Brazil,Wales,25923,Quarter-finals,Sweden,1958,1958-06-19,1,0,home_win
Sweden,Soviet Union,31900,Quarter-finals,Sweden,1958,1958-06-19,2,0,home_win
Northern Ireland,Czechoslovakia,6196,Group stage play-off,Sweden,1958,1958-06-17,2,1,home_win
Wales,Hungary,2823,Group stage play-off,Sweden,1958,1958-06-17,2,1,home_win
Soviet Union,England,23182,Group stage play-off,Sweden,1958,1958-06-17,1,0,home_win
Sweden,Wales,30287,Group stage,Sweden,1958,1958-06-15,0,0,draw
Paraguay,Yugoslavia,13103,Group stage,Sweden,1958,1958-06-15,3,3,draw
West Germany,Northern Ireland,21990,Group stage,Sweden,1958,1958-06-15,2,2,draw
Czechoslovakia,Argentina,16418,Group stage,Sweden,1958,1958-06-15,6,1,home_win
England,Austria,15872,Group stage,Sweden,1958,1958-06-15,2,2,draw
Brazil,Soviet Union,50928,Group stage,Sweden,1958,1958-06-15,2,0,home_win
Hungary,Mexico,13300,Group stage,Sweden,1958,1958-06-15,4,0,home_win
France,Scotland,13554,Group stage,Sweden,1958,1958-06-15,2,1,home_win
Sweden,Hungary,38850,Group stage,Sweden,1958,1958-06-12,2,1,home_win
Soviet Union,Austria,21239,Group stage,Sweden,1958,1958-06-11,2,0,home_win
West Germany,Czechoslovakia,25000,Group stage,Sweden,1958,1958-06-11,2,2,draw
Argentina,Northern Ireland,14174,Group stage,Sweden,1958,1958-06-11,3,1,home_win
Yugoslavia,France,12217,Group stage,Sweden,1958,1958-06-11,3,2,home_win
Paraguay,Scotland,11665,Group stage,Sweden,1958,1958-06-11,3,2,home_win
Brazil,England,40895,Group stage,Sweden,1958,1958-06-11,0,0,draw
Mexico,Wales,15150,Group stage,Sweden,1958,1958-06-11,1,1,draw
Sweden,Mexico,34107,Group stage,Sweden,1958,1958-06-08,3,0,home_win
Northern Ireland,Czechoslovakia,10647,Group stage,Sweden,1958,1958-06-08,1,0,home_win
Hungary,Wales,15343,Group stage,Sweden,1958,1958-06-08,1,1,draw
Yugoslavia,Scotland,9591,Group stage,Sweden,1958,1958-06-08,1,1,draw
Brazil,Austria,17788,Group stage,Sweden,1958,1958-06-08,3,0,home_win
Soviet Union,England,49348,Group stage,Sweden,1958,1958-06-08,2,2,draw
France,Paraguay,16518,Group stage,Sweden,1958,1958-06-08,7,3,home_win
Argentina,West Germany,31156,Group stage,Sweden,1958,1958-06-08,1,3,away_win
Germany,Hungary,62500,Final,Switzerland,1954,1954-07-04,3,2,home_win
Austria,Uruguay,32000,Third-place match,Switzerland,1954,1954-07-03,3,1,home_win
Hungary,Uruguay,45000,Semi-finals,Switzerland,1954,1954-06-30,4,2,home_win
Germany,Austria,58000,Semi-finals,Switzerland,1954,1954-06-30,6,1,home_win
Germany,Yugoslavia,17000,Quarter-finals,Switzerland,1954,1954-06-27,2,0,home_win
Hungary,Brazil,40000,Quarter-finals,Switzerland,1954,1954-06-27,4,2,home_win
Uruguay,England,28000,Quarter-finals,Switzerland,1954,1954-06-26,4,2,home_win
Switzerland,Austria,35000,Quarter-finals,Switzerland,1954,1954-06-26,5,7,away_win
Germany,Turkey,17000,Group stage play-off,Switzerland,1954,1954-06-23,7,2,home_win
Switzerland,Italy,30000,Group stage play-off,Switzerland,1954,1954-06-23,4,1,home_win
Hungary,Germany,56000,Group stage,Switzerland,1954,1954-06-20,8,3,home_win
Turkey,South Korea,4000,Group stage,Switzerland,1954,1954-06-20,7,0,home_win
Italy,Belgium,24000,Group stage,Switzerland,1954,1954-06-20,4,1,home_win
Switzerland,England,43500,Group stage,Switzerland,1954,1954-06-20,0,2,away_win
Uruguay,Scotland,34000,Group stage,Switzerland,1954,1954-06-19,7,0,home_win
Brazil,Yugoslavia,24637,Group stage,Switzerland,1954,1954-06-19,1,1,draw
Austria,Czechoslovakia,26000,Group stage,Switzerland,1954,1954-06-19,5,0,home_win
France,Mexico,19000,Group stage,Switzerland,1954,1954-06-19,3,2,home_win
Switzerland,Italy,43000,Group stage,Switzerland,1954,1954-06-17,2,1,home_win
Hungary,South Korea,13000,Group stage,Switzerland,1954,1954-06-17,9,0,home_win
Germany,Turkey,28000,Group stage,Switzerland,1954,1954-06-17,4,1,home_win
England,Belgium,14000,Group stage,Switzerland,1954,1954-06-17,4,4,draw
Uruguay,Czechoslovakia,20500,Group stage,Switzerland,1954,1954-06-16,2,0,home_win
Yugoslavia,France,16000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win
Brazil,Mexico,13470,Group stage,Switzerland,1954,1954-06-16,5,0,home_win
Austria,Scotland,25000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win
Sweden,Spain,11227,Final stage,Brazil,1950,1950-07-16,3,1,home_win
Uruguay,Brazil,173850,Final stage,Brazil,1950,1950-07-16,2,1,home_win
Brazil,Spain,152772,Final stage,Brazil,1950,1950-07-13,6,1,home_win
Uruguay,Sweden,7987,Final stage,Brazil,1950,1950-07-13,3,2,home_win
Brazil,Sweden,138886,Final stage,Brazil,1950,1950-07-09,7,1,home_win
Uruguay,Spain,44802,Final stage,Brazil,1950,1950-07-09,2,2,draw
Chile,United States,8501,Group stage,Brazil,1950,1950-07-02,5,2,home_win
Italy,Paraguay,25811,Group stage,Brazil,1950,1950-07-02,2,0,home_win
Uruguay,Bolivia,5284,Group stage,Brazil,1950,1950-07-02,8,0,home_win
Spain,England,74462,Group stage,Brazil,1950,1950-07-02,1,0,home_win
Switzerland,Mexico,3580,Group stage,Brazil,1950,1950-07-02,2,1,home_win
Brazil,Yugoslavia,142429,Group stage,Brazil,1950,1950-07-01,2,0,home_win
Spain,Chile,19790,Group stage,Brazil,1950,1950-06-29,2,0,home_win
United States,England,10151,Group stage,Brazil,1950,1950-06-29,1,0,home_win
Sweden,Paraguay,7903,Group stage,Brazil,1950,1950-06-29,2,2,draw
Brazil,Switzerland,42032,Group stage,Brazil,1950,1950-06-28,2,2,draw
Yugoslavia,Mexico,11078,Group stage,Brazil,1950,1950-06-28,4,1,home_win
Sweden,Italy,36502,Group stage,Brazil,1950,1950-06-25,3,2,home_win
England,Chile,29703,Group stage,Brazil,1950,1950-06-25,2,0,home_win
Spain,United States,9511,Group stage,Brazil,1950,1950-06-25,3,1,home_win
Yugoslavia,Switzerland,7336,Group stage,Brazil,1950,1950-06-25,3,0,home_win
